dataset: C
instance: CI
+-----------+
2D Packing Heuristic in Truck P098883451
Min2DVol: 31.654037999999986 [m2]
Stack 0 with items: ['0090016800_27022023029723', '0090016800_27022023029723', '0090016800_27022023029723']
Stack 1 with items: ['0090016800_27022023029723', '0090016800_27022023029723', '0090016800_27022023029723']
Stack 2 with items: ['0090016800_27022023029723', '0090016800_27022023029723', '0090016800_27022023029723']
Stack 3 with items: ['0090016800_27022023029723', '0090016800_27022023029723', '0090016800_27022023029723']
Stack 4 with items: ['0090016800_27022023029723', '0090016800_27022023029723', '0090016800_27022023029723']
Stack 5 with items: ['0090016800_27022023029723', '0090016800_27022023029723', '0090016800_27022023029723']
Stack 6 with items: ['0090016800_27022023029723', '0090016800_27022023029723', '0090016800_27022023029723']
Stack 7 with items: ['0090016800_27022023029723', '0090016800_27022023029723', '0090016800_27022023029723']
Stack 8 with items: ['0090016800_27022023029723', '0090016800_27022023029723', '0090016800_27022023029723']
Stack 9 with items: ['0090016800_27022023029723', '0090016800_27022023023508', '0090016800_27022023029723']
Stack 10 with items: ['0090016800_27022023023508', '0090016800_27022023023508', '0090016800_27022023023508']
Stack 11 with items: ['0090016800_27022023023508', '0090016800_27022023023508', '0090016800_27022023023508']
Stack 12 with items: ['0090016800_27022023023508', '0090016800_27022023023508', '0090016800_27022023023508']
Stack 13 with items: ['0090016800_27022023023508', '0090016800_27022023023508', '0090016800_27022023023508']
Stack 14 with items: ['0090016800_27022023023508', '0090016800_27022023023508', '0090016800_27022023023508']
Stack 15 with items: ['0090016800_27022023023508', '0090016800_27022023023508', '0090016800_27022023023508']
Stack 16 with items: ['0090016800_27022023018151', '0090016800_27022023018151', '0090016800_27022023018151']
Stack 17 with items: ['0090016800_27022023018151', '0090016800_27022023018151', '0090016800_27022023018151']
Stack 18 with items: ['0090016800_27022023018151', '0090016800_27022023018151', '0090016800_27022023018151']
Stack 19 with items: ['0090016800_27022023016503', '0090016800_27022023016503', '0090016800_27022023016503']
Stack 20 with items: ['0090016800_27022023016503', '0090016800_27022023016503', '0090016800_27022023016503']
Stack 21 with items: ['0090016800_27022023016503', '0090016800_27022023016503', '0090016800_27022023016503']
Stack 22 with items: ['0090016800_27022023011887', '0090016800_27022023011887', '0090016800_27022023011887']
Stack 23 with items: ['0090016800_27022023011887', '0090016800_27022023011887', '0090016800_27022023011887']
Stack 24 with items: ['0090016800_27022023011887', '0090016800_27022023011887', '0090016800_27022023011887']
Stack 25 with items: ['0090016800_27022023011887', '0090016800_27022023011887', '0090016800_27022023011887']
Heuristic packed all stacks
