dataset: C
instance: TR
+-----------+
2D Packing Heuristic in Truck P097278201
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090017000_27022023034403', '0090017000_27022023034403', '0090017000_27022023034403']
Stack 1 with items: ['0090017000_27022023034403', '0090017000_27022023034403', '0090017000_27022023034403']
Stack 2 with items: ['0090017000_27022023034403', '0090017000_27022023034403', '0090017000_27022023034403']
Stack 3 with items: ['0090017000_27022023034403', '0090017000_27022023034403', '0090017000_27022023034403']
Stack 4 with items: ['0090017000_27022023034403', '0090017000_27022023034403', '0090017000_27022023034403']
Stack 5 with items: ['0090017000_27022023034403', '0090017000_27022023034403', '0090017000_27022023034403']
Stack 6 with items: ['0090017000_27022023034403', '0090017000_27022023034403', '0090017000_27022023034403']
Stack 7 with items: ['0090017000_27022023034403', '0090017000_27022023034403', '0090017000_27022023034403']
Stack 8 with items: ['0090017000_27022023034403', '0090017000_27022023020144', '0090017000_27022023020144']
Stack 9 with items: ['0090017000_27022023020144', '0090017000_27022023020144', '0090017000_27022023020144']
Stack 10 with items: ['0090017000_27022023020144', '0090017000_27022023020144', '0090017000_27022023020144']
Stack 11 with items: ['0090017000_27022023020144', '0090017000_27022023020144', '0090017000_27022023020144']
Stack 12 with items: ['0090017000_27022023020144', '0090017000_27022023020144', '0090017000_27022023020144']
Stack 13 with items: ['0090017000_27022023020144', '0090017000_27022023020144', '0090017000_27022023020144']
Stack 14 with items: ['0090017000_27022023020144', '0090017000_27022023014210', '0090017000_27022023014210']
Stack 15 with items: ['0090017000_27022023014210', '0090017000_27022023014210', '0090017000_27022023014210']
Stack 16 with items: ['0090017000_27022023011113', '0090017000_27022023011113', '0090017000_27022023011113']
Stack 17 with items: ['0090017000_27022023011113', '0090017000_27022023011113', '0090017000_27022023011113']
Stack 18 with items: ['0090017000_27022023011113', '0090017000_27022023011113', '0090017000_27022023011113']
Stack 19 with items: ['0090017000_27022023011113', '0090017000_27022023011113', '0090017000_27022023011113']
Stack 20 with items: ['0090017000_27022023011113', '0090017000_27022023011113', '0090017000_27022023011113']
Stack 21 with items: ['0090017000_27022023011113', '0090017000_27022023011113', '0090017000_27022023011113']
Stack 22 with items: ['0090017000_27022023011113', '0090017000_27022023011113', '0090017000_27022023011113']
Stack 23 with items: ['0090017000_27022023011113', '0090017000_27022023002685', '0090017000_27022023002685']
Stack 24 with items: ['0090017000_27022023002685', '0090017000_27022023002685', '0090017000_27022023002685']
Stack 25 with items: ['0090017000_27022023002685', '0090017000_27022023002685', '0090017000_27022023002685']
Heuristic packed all stacks
