dataset: C
instance: MA3
+-----------+
2D Packing Heuristic in Truck P114131001
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090016200_28022023028845', '0090016200_28022023025817', '0090016200_28022023025817']
Stack 1 with items: ['0090016200_28022023025817', '0090016200_28022023022135', '0090016200_28022023025817']
Stack 2 with items: ['0090016200_28022023019256', '0090016200_28022023019256', '0090016200_28022023019256']
Stack 3 with items: ['0090016200_28022023019256', '0090016200_28022023019256', '0090016200_28022023019256']
Stack 4 with items: ['0090016200_28022023018449', '0090016200_28022023018449', '0090016200_28022023018449']
Stack 5 with items: ['0090016200_28022023018449', '0090016200_28022023018449', '0090016200_28022023018449']
Stack 6 with items: ['0090016200_28022023018449', '0090016200_28022023018449', '0090016200_28022023018449']
Stack 7 with items: ['0090016200_28022023018449', '0090016200_28022023010646', '0090016200_28022023010646']
Stack 8 with items: ['0090016200_28022023010646', '0090016200_28022023010646', '0090016200_28022023010646']
Stack 9 with items: ['0090016200_28022023010646', '0090016200_28022023009340', '0090016200_28022023009340']
Stack 10 with items: ['0090016200_28022023009340', '0090016200_28022023009340', '0090016200_28022023009340']
Stack 11 with items: ['0090016200_28022023009340', '0090016200_28022023009340', '0090016200_28022023009340']
Stack 12 with items: ['0090016200_28022023009340', '0090016200_28022023009340', '0090016200_28022023009340']
Stack 13 with items: ['0090016200_28022023009340', '0090016200_28022023009340', '0090016200_28022023009340']
Stack 14 with items: ['0090016200_28022023009340', '0090016200_28022023004789', '0090016200_28022023004789']
Stack 15 with items: ['0090016200_28022023004789', '0090016200_28022023004789', '0090016200_28022023004789']
Stack 16 with items: ['0090016200_28022023004789', '0090016200_28022023004789', '0090016200_28022023004789']
Stack 17 with items: ['0090016200_28022023004789', '0090016200_28022023004789', '0090016200_28022023004789']
Stack 18 with items: ['0090016200_28022023004789', '0090016200_28022023004789', '0090016200_28022023004789']
Stack 19 with items: ['0090016200_28022023004789', '0090016200_28022023002932', '0090016200_28022023004789']
Stack 20 with items: ['0090016200_28022023002932', '0090016200_28022023002932', '0090016200_28022023002932']
Stack 21 with items: ['0090016200_28022023002932', '0090016200_28022023001316', '0090016200_28022023002932']
Stack 22 with items: ['0090016200_28022023001316', '0090016200_28022023001316', '0090016200_28022023001316']
Stack 23 with items: ['0090016200_28022023001316', '0090016200_28022023001316', '0090016200_28022023001316']
Stack 24 with items: ['0090016200_28022023001316', '0090016200_28022023001316', '0090016200_28022023001316']
Stack 25 with items: ['0090016200_28022023001316', '0090016200_28022023001316']
Heuristic packed all stacks
