dataset: C
instance: PA2
+-----------+
2D Packing Heuristic in Truck P116501501
Min2DVol: 30.720000000000013 [m2]
Stack 0 with items: ['0091017200_28022023035844', '0091017200_28022023035844', '0091017200_28022023035844']
Stack 1 with items: ['0091017200_28022023035844', '0091017200_28022023026711', '0091017200_28022023035844']
Stack 2 with items: ['0091017200_28022023026711', '0091017200_28022023026711', '0091017200_28022023026711']
Stack 3 with items: ['0091017200_28022023026711', '0091017200_28022023026711', '0091017200_28022023026711']
Stack 4 with items: ['0091017200_28022023026711', '0091017200_28022023024973', '0091017200_28022023024973']
Stack 5 with items: ['0091017200_28022023023080', '0091017200_28022023023080', '0091017200_28022023023080']
Stack 6 with items: ['0091017200_28022023023080', '0091017200_28022023023080', '0091017200_28022023023080']
Stack 7 with items: ['0091017200_28022023023080', '0091017200_28022023023080', '0091017200_28022023023080']
Stack 8 with items: ['0091017200_28022023019024', '0091017200_28022023019024', '0091017200_28022023019024']
Stack 9 with items: ['0091017200_28022023008790', '0091017200_28022023006962', '0091017200_28022023006962']
Stack 10 with items: ['0091017200_28022023006962', '0091017200_28022023003349', '0091017200_28022023003349']
Stack 11 with items: ['0091017200_28022023003349', '0091017200_28022023003349', '0091017200_28022023003349']
Stack 12 with items: ['0091017200_28022023003349', '0091017200_28022023003349', '0091017200_28022023003349']
Stack 13 with items: ['0091017200_28022023003349', '0091017200_28022023003349', '0091017200_28022023003349']
Stack 14 with items: ['0091017200_28022023003349', '0091017200_28022023003349', '0091017200_28022023003349']
Stack 15 with items: ['0091017200_28022023003349', '0091017200_28022023002543', '0091017200_28022023003349']
Heuristic packed all stacks
