dataset: C
instance: TR
+-----------+
2D Packing Heuristic in Truck P075420101
Min2DVol: 31.69805999999999 [m2]
Stack 0 with items: ['0090017000_27022023022587', '0090017000_27022023022587', '0090017000_27022023022587']
Stack 1 with items: ['0090017000_27022023023059', '0090017000_27022023023059', '0090017000_27022023023059']
Stack 2 with items: ['0090017000_27022023001057', '0090017000_27022023001057', '0090017000_27022023001057']
Stack 3 with items: ['0090017000_27022023001057', '0090017000_27022023001057', '0090017000_27022023022587']
Stack 4 with items: ['0090017000_27022023023679', '0090017000_27022023023679', '0090017000_27022023023679']
Stack 5 with items: ['0090017000_27022023023679', '0090017000_27022023018268', '0090017000_27022023023679']
Stack 6 with items: ['0090017000_27022023021883', '0090017000_27022023021883', '0090017000_27022023021883']
Stack 7 with items: ['0090017000_27022023021883', '0090017000_27022023021883', '0090017000_27022023021883']
Stack 8 with items: ['0090017000_27022023021883', '0090017000_27022023021883', '0090017000_27022023021883']
Stack 9 with items: ['0090017000_27022023018268', '0090017000_27022023018268', '0090017000_27022023018268']
Stack 10 with items: ['0090017000_27022023018268', '0090017000_27022023018268', '0090017000_27022023018268']
Stack 11 with items: ['0090017000_27022023018268', '0090017000_27022023018268', '0090017000_27022023018268']
Stack 12 with items: ['0090017000_27022023018268', '0090017000_27022023018268', '0090017000_27022023018268']
Stack 13 with items: ['0090017000_27022023018268', '0090017000_27022023018268', '0090017000_27022023018268']
Stack 14 with items: ['0090017000_27022023018268', '0090017000_27022023018268', '0090017000_27022023018268']
Stack 15 with items: ['0090017000_27022023018268', '0090017000_27022023017847', '0090017000_27022023018268']
Stack 16 with items: ['0090017000_27022023017847', '0090017000_27022023017847', '0090017000_27022023017847']
Stack 17 with items: ['0090017000_27022023017847', '0090017000_27022023017847', '0090017000_27022023017847']
Stack 18 with items: ['0090017000_27022023017847', '0090017000_27022023017847', '0090017000_27022023017847']
Stack 19 with items: ['0090017000_27022023017847', '0090017000_27022023017847', '0090017000_27022023017847']
Stack 20 with items: ['0090017000_27022023017847', '0090017000_27022023017847', '0090017000_27022023017847']
Stack 21 with items: ['0090017000_27022023017847', '0090017000_27022023017847', '0090017000_27022023017847']
Stack 22 with items: ['0090017000_27022023017847', '0090017000_27022023003418', '0090017000_27022023017847']
Stack 23 with items: ['0090017000_27022023007036']
Heuristic packed all stacks
