dataset: C
instance: TR2
+-----------+
2D Packing Heuristic in Truck P089278701
Min2DVol: 25.199999999999992 [m2]
Stack 0 with items: ['0090017000_28022023011634', '0090017000_28022023011634']
Stack 1 with items: ['0090017000_28022023011303', '0090017000_28022023011257']
Stack 2 with items: ['0090017000_28022023011009', '0090017000_28022023011009']
Stack 3 with items: ['0090017000_28022023011009', '0090017000_28022023011009']
Stack 4 with items: ['0090017000_28022023011009', '0090017000_28022023011009']
Stack 5 with items: ['0090017000_28022023010927', '0090017000_28022023010927']
Stack 6 with items: ['0090017000_28022023010927', '0090017000_28022023010329']
Stack 7 with items: ['0090017000_28022023008840', '0090017000_28022023007995']
Stack 8 with items: ['0090017000_28022023007995', '0090017000_28022023007995']
Stack 9 with items: ['0090017000_28022023007995', '0090017000_28022023007217']
Stack 10 with items: ['0090017000_28022023007217', '0090017000_28022023006269']
Stack 11 with items: ['0090017000_28022023006269', '0090017000_28022023006269']
Stack 12 with items: ['0090017000_28022023006269', '0090017000_28022023006269']
Stack 13 with items: ['0090017000_28022023006269', '0090017000_28022023006269']
Stack 14 with items: ['0090017000_28022023006269', '0090017000_28022023006269']
Stack 15 with items: ['0090017000_28022023003909', '0090017000_28022023001906']
Stack 16 with items: ['0090017000_28022023001906', '0090017000_28022023001120']
Stack 17 with items: ['0090017000_28022023001120', '0090017000_28022023001120']
Stack 18 with items: ['0090017000_28022023001120', '0090017000_28022023001120']
Stack 19 with items: ['0090017000_28022023001120', '0090017000_28022023001120']
Stack 20 with items: ['0090017000_28022023000539', '0090017000_28022023000403']
Heuristic packed all stacks
